"1","curve","closed freeform"
"2","curve","closed freeform"
"3","curve","closed freeform"
"4","curve","closed freeform"
"5","curve","closed freeform"
"6","curve","closed freeform"
"7","curve","closed freeform"
"8","curve","closed freeform"
"9","curve","closed freeform"
"10","curve","closed freeform"
"11","curve","closed freeform"
"12","curve","closed freeform"
"13","curve","closed freeform"
"14","curve","closed freeform"
"15","curve","closed freeform"
"16","curve","closed freeform"
"17","curve","closed freeform"
"18","curve","closed freeform"
"19","curve","closed freeform"
"20","curve","closed freeform"
"21","curve","closed freeform"
"22","curve","closed freeform"
"23","curve","closed freeform"
"24","curve","closed freeform"
"25","curve","closed freeform"
"26","curve","closed freeform"
"27","curve","closed freeform"
"28","curve","closed freeform"
"29","curve","closed freeform"
"30","curve","closed freeform"
"31","curve","closed freeform"
"32","curve","closed freeform"
"33","curve","closed freeform"
"34","curve","closed freeform"
"35","curve","closed freeform"
"36","curve","closed freeform"
"37","curve","closed freeform"
"38","curve","closed freeform"
"39","curve","closed freeform"
"40","curve","closed freeform"
"41","curve","closed freeform"
"42","curve","closed freeform"
"43","curve","closed freeform"
"44","curve","closed freeform"
"45","curve","closed freeform"
"46","curve","closed freeform"
"47","curve","closed freeform"
"48","curve","closed freeform"
"49","curve","closed freeform"
"50","curve","closed freeform"
"51","curve","closed freeform"
"52","curve","closed freeform"
"53","curve","closed freeform"
"54","curve","closed freeform"
"55","curve","closed freeform"
"56","curve","closed freeform"
"57","curve","closed freeform"
"58","curve","closed freeform"
"59","curve","closed freeform"
"60","curve","closed freeform"
"61","curve","closed freeform"
"62","curve","closed freeform"
"63","curve","closed freeform"
"64","curve","closed freeform"
"65","curve","closed freeform"
"66","curve","closed freeform"
